paper_id	title	authors	session_id	zulu_start	zulu_end	local_start_time	local_end_time	local_date	room_name	track_id	day_track_id	day_of_week	session_name	session_chair_name
Short 1022	Visualizing in the Mind's Eye: Icon Design Shapes Mental Imagery of Fire Risks	Wen Xu, Anjana Arunkumar, Lace M. Padilla	short1	2026-11-10T15:00:00.000Z	2026-11-10T16:30:00.000Z	10:00 AM	11:30 AM	Nov 10	Essex North	essex_north	tues2_essex_north	Tuesday	Form Follows Function	Keke Wu
Short 1098	What Do We Mean When We Talk About Infographics?	Xiaoyu Liu, Vishnu Sreekanth, Vraj Patel, Shalin Muzumdar, Diego Lopez, Fumeng Yang, Zhicheng Liu	short1	2026-11-10T15:00:00.000Z	2026-11-10T16:30:00.000Z	10:00 AM	11:30 AM	Nov 10	Essex North	essex_north	tues2_essex_north	Tuesday	Form Follows Function	Keke Wu
Short 1108	Interaction Techniques for Virtual Dissectible Models	Tim McGraw, Jack Myers	short1	2026-11-10T15:00:00.000Z	2026-11-10T16:30:00.000Z	10:00 AM	11:30 AM	Nov 10	Essex North	essex_north	tues2_essex_north	Tuesday	Form Follows Function	Keke Wu
Short 1182	SpheriColor: Colormaps for Spherical Geospatial Input Topographies	Julius Rauscher, Johannes Fuchs, Daniel A Keim, Frederik L. Dennig	short1	2026-11-10T15:00:00.000Z	2026-11-10T16:30:00.000Z	10:00 AM	11:30 AM	Nov 10	Essex North	essex_north	tues2_essex_north	Tuesday	Form Follows Function	Keke Wu
Short 1268	360° Rays: Familiar, Yet Different and Better!	Bipasha Garg, Kamalakar Karlapalem	short1	2026-11-10T15:00:00.000Z	2026-11-10T16:30:00.000Z	10:00 AM	11:30 AM	Nov 10	Essex North	essex_north	tues2_essex_north	Tuesday	Form Follows Function	Keke Wu
Short 1309	The Balance between Nuance and Clarity: Decluttering Tabular Sequential Graphs to Counter Money Laundering	Salomé Esteves, Rita Costa, Louise Fallon, Pedro Bizarro	short1	2026-11-10T15:00:00.000Z	2026-11-10T16:30:00.000Z	10:00 AM	11:30 AM	Nov 10	Essex North	essex_north	tues2_essex_north	Tuesday	Form Follows Function	Keke Wu
Short 1329	High Fidelity Visualization: Parameter Mapping as an Analytical Tool for Assessing Structural Correspondence	Carmen Hull, Jagoda Walny	short1	2026-11-10T15:00:00.000Z	2026-11-10T16:30:00.000Z	10:00 AM	11:30 AM	Nov 10	Essex North	essex_north	tues2_essex_north	Tuesday	Form Follows Function	Keke Wu
Short 1387	Adapting CCDF Plots for Visualizing Ordinal Regression Results	Abhraneel Sarma	short1	2026-11-10T15:00:00.000Z	2026-11-10T16:30:00.000Z	10:00 AM	11:30 AM	Nov 10	Essex North	essex_north	tues2_essex_north	Tuesday	Form Follows Function	Keke Wu
Short 1085	EvidenceLens: A Claim-Evidence Matrix for Auditing Financial Question Answering	Fengchen Gu, Xiaotian Ren, Zhengyong Jiang, Zhilu Zhang, Ángel F. García-Fernández, Angelos Stefanidis, Mian Zhou, Huakang Li, Jionglong Su	short8	2026-11-11T13:00:00.000Z	2026-11-11T14:30:00.000Z	08:00 AM	09:30 AM	Nov 11	America South	america_south	wed1_america_south	Wednesday	Can We Trust This Chart? (Asking for a Friend)	Ghulam Jilani Quadri
Short 1138	Investigating Status Quo Effects in Visualization-Aided Choice	Başak Oral, Wouter Ubbink, Evanthia Dimara, Angelos Chatzimparmpas	short8	2026-11-11T13:00:00.000Z	2026-11-11T14:30:00.000Z	08:00 AM	09:30 AM	Nov 11	America South	america_south	wed1_america_south	Wednesday	Can We Trust This Chart? (Asking for a Friend)	Ghulam Jilani Quadri
Short 1202	Uncertainty Visualization for Approximated Barycenter of Contour Trees Based on Partial Optimal Transport	Mingzhe Li, Fangfei Lan, Gunther H Weber, Bei Wang	short8	2026-11-11T13:00:00.000Z	2026-11-11T14:30:00.000Z	08:00 AM	09:30 AM	Nov 11	America South	america_south	wed1_america_south	Wednesday	Can We Trust This Chart? (Asking for a Friend)	Ghulam Jilani Quadri
Short 1217	Mitigating Confirmation Bias Through Hand-Drawing Videos	Chenyu Lin, Cindy Xiong Bearfield, Icy(Yunyi) Zhang	short8	2026-11-11T13:00:00.000Z	2026-11-11T14:30:00.000Z	08:00 AM	09:30 AM	Nov 11	America South	america_south	wed1_america_south	Wednesday	Can We Trust This Chart? (Asking for a Friend)	Ghulam Jilani Quadri
Short 1242	“Trust Junk” Leads to Unjustified Support for Highly Discriminatory Predictive Models	Michael Correll, Lucy Havens, Mahsan Nourani	short8	2026-11-11T13:00:00.000Z	2026-11-11T14:30:00.000Z	08:00 AM	09:30 AM	Nov 11	America South	america_south	wed1_america_south	Wednesday	Can We Trust This Chart? (Asking for a Friend)	Ghulam Jilani Quadri
Short 1275	Error Aware Distribution Prediction for Lightweight Implicit Neural Representations	Zhimin Li, Jake Dylan Balla, Joshua A Levine	short8	2026-11-11T13:00:00.000Z	2026-11-11T14:30:00.000Z	08:00 AM	09:30 AM	Nov 11	America South	america_south	wed1_america_south	Wednesday	Can We Trust This Chart? (Asking for a Friend)	Ghulam Jilani Quadri
Short 1280	Rethinking Utility in Differentially Private Visualization: A Channel-Centric Perspective	Jing Yang, Sarayu Pacca, Zhaocong Yang, Liyue Fan	short8	2026-11-11T13:00:00.000Z	2026-11-11T14:30:00.000Z	08:00 AM	09:30 AM	Nov 11	America South	america_south	wed1_america_south	Wednesday	Can We Trust This Chart? (Asking for a Friend)	Ghulam Jilani Quadri
Short 1382	Adaptive Uncertainty Visualization With jk-Plots	Nikolaus Piccolotto, Daniel Pahr, Laura Lotteraner, Fatih Öztank, Markus Bögl	short8	2026-11-11T13:00:00.000Z	2026-11-11T14:30:00.000Z	08:00 AM	09:30 AM	Nov 11	America South	america_south	wed1_america_south	Wednesday	Can We Trust This Chart? (Asking for a Friend)	Ghulam Jilani Quadri
Short 1021	May (A)I Beautify Your Visualization? Expert Judgments of Acceptable Aesthetic Alterations	Kalina Borkiewicz, Jixian Li, Joshua A Levine, Katherine E. Isaacs	short9	2026-11-11T15:00:00.000Z	2026-11-11T16:30:00.000Z	10:00 AM	11:30 AM	Nov 11	America North	america_north	wed2_america_north	Wednesday	Data, Meet Human: Vis That Cares	
Short 1131	Parts Measured, Persons Missed: A Profile-Centered Account of Visualization User Experience	Anjana Arunkumar, Lace M. Padilla	short9	2026-11-11T15:00:00.000Z	2026-11-11T16:30:00.000Z	10:00 AM	11:30 AM	Nov 11	America North	america_north	wed2_america_north	Wednesday	Data, Meet Human: Vis That Cares	
Short 1191	Comparing the Emotional Impact of Thematic Versus Episodic Framing in Visualization Text	Poorna Talkad Sukumar, Maurizio Porfiri, Oded Nov	short9	2026-11-11T15:00:00.000Z	2026-11-11T16:30:00.000Z	10:00 AM	11:30 AM	Nov 11	America North	america_north	wed2_america_north	Wednesday	Data, Meet Human: Vis That Cares	
Short 1232	Made to Feel: How Designers Bring Emotions into Affective Visualization	Yixin Bai, Ziyi Wang, Keke Wu, Fumeng Yang	short9	2026-11-11T15:00:00.000Z	2026-11-11T16:30:00.000Z	10:00 AM	11:30 AM	Nov 11	America North	america_north	wed2_america_north	Wednesday	Data, Meet Human: Vis That Cares	
Short 1245	What-If Demolition: Home-First Narrative Anchoring for Public-Facing Gentrification Analytics	Ibrahim Al-Hazwani, Yanick Bachmann, Mennatallah El-Assady	short9	2026-11-11T15:00:00.000Z	2026-11-11T16:30:00.000Z	10:00 AM	11:30 AM	Nov 11	America North	america_north	wed2_america_north	Wednesday	Data, Meet Human: Vis That Cares	
Short 1264	“I Want More Nuance”: Investigating the use of Physicalizations to Facilitate Discussions 	Emmanuel Courtoux, Nathalie Bressa, Samuel Huron	short9	2026-11-11T15:00:00.000Z	2026-11-11T16:30:00.000Z	10:00 AM	11:30 AM	Nov 11	America North	america_north	wed2_america_north	Wednesday	Data, Meet Human: Vis That Cares	
Short 1302	Beyond Initial Creation: Two Decades of Community-based Chart Revisions from Wikimedia Commons	Jasmine Y Shih, Chase Stokes, Melanie Tory, Marti Hearst	short9	2026-11-11T15:00:00.000Z	2026-11-11T16:30:00.000Z	10:00 AM	11:30 AM	Nov 11	America North	america_north	wed2_america_north	Wednesday	Data, Meet Human: Vis That Cares	
Short 1319	Visualization Color Repair: A Browser Extension for Colorblind Users	Ayan Nath, Alex Kale	short9	2026-11-11T15:00:00.000Z	2026-11-11T16:30:00.000Z	10:00 AM	11:30 AM	Nov 11	America North	america_north	wed2_america_north	Wednesday	Data, Meet Human: Vis That Cares	
Short 1272	BLIMMP-Explorer: A Visual Decomposition of Bayesian Evidence in Metabolic Module Inference	Neha Sontakke, Joshua A Levine, Travis Wheeler	short7	2026-11-11T18:00:00.000Z	2026-11-11T19:30:00.000Z	01:00 PM	02:30 PM	Nov 11	Essex North	essex_north	wed3_essex_north	Wednesday	Connecting the Dots	Takayuki Itoh
Short 1304	Visual Analytics of Neighborhood Attribute Profiles for Exploring Structural Equivalence	Kohei Arimoto, Masahiko Itoh	short7	2026-11-11T18:00:00.000Z	2026-11-11T19:30:00.000Z	01:00 PM	02:30 PM	Nov 11	Essex North	essex_north	wed3_essex_north	Wednesday	Connecting the Dots	Takayuki Itoh
Short 1330	Interactive Hierarchical Visualization for Exploring the Neotoma Paleoecological Taxonomy	Yanbing Chen, Jonathan Nelson, Simon Goring, Qianheng Zhang, Jessica Blois, John Williams	short7	2026-11-11T18:00:00.000Z	2026-11-11T19:30:00.000Z	01:00 PM	02:30 PM	Nov 11	Essex North	essex_north	wed3_essex_north	Wednesday	Connecting the Dots	Takayuki Itoh
Short 1335	A Task Taxonomy for Edge and Trail Bundling	Markus Wallinger, Stephen Kobourov	short7	2026-11-11T18:00:00.000Z	2026-11-11T19:30:00.000Z	01:00 PM	02:30 PM	Nov 11	Essex North	essex_north	wed3_essex_north	Wednesday	Connecting the Dots	Takayuki Itoh
Short 1363	Subdivision Matters: Partitioning Strategies for Task-Parallel Topological Visualization	Mithilesh Biradar, Guoxi Liu, Federico Iuricich	short7	2026-11-11T18:00:00.000Z	2026-11-11T19:30:00.000Z	01:00 PM	02:30 PM	Nov 11	Essex North	essex_north	wed3_essex_north	Wednesday	Connecting the Dots	Takayuki Itoh
Short 1380	EventColumn: Integrating Event Sequences into Tabular Visualizations	Jakob Zethofer, Andreas Hinterreiter, Lukas Schiefermüller, Belgin Mutlu, Marc Streit	short7	2026-11-11T18:00:00.000Z	2026-11-11T19:30:00.000Z	01:00 PM	02:30 PM	Nov 11	Essex North	essex_north	wed3_essex_north	Wednesday	Connecting the Dots	Takayuki Itoh
