paper_id	paper_type	title	authors	session_name	session_chair_name	session_chair_email	location
VIS 2040	Full	 Guided Exploration of Iterative Schedule Modifications: A Design Study on Railway Traction Unit Scheduling	Andreas Zajic, Vera Hechtl, Cornelia Geischläger, Maximilian Kunovjanek-Bachler, Thomas Hulka, Anna-Lena Penk, Belma Turan, Nadine Schwab, Maximilian Viehauser, Helwig Hauser, Kresimir Matkovic	Making things visual in science and engineering			Boston
VIS 1130	Full	 DebrisTracer: Reliable Tracking in Hypervelocity Impact Fast Imaging	Théophane Loloum, Fabien Vivodtzev, David Hebert, Baptiste Reynier, Michel Arrigoni, Julien Tierny	Making things visual in science and engineering			Boston
VIS 1197	Full	 VQ-ANR: Attention Neural Representation with Vector Quantization for Time-Varying Ensemble Data Exploration	Huayuan Ye, Bolin Zhao, Chenhui Li, Jun Han	Making things visual in science and engineering			Boston
VIS 2111	Full	 A Task-Driven Framework for Multiscale Ocean Flow Dynamics through Integrated Simulation and Visualization	James Kress, Jithendra Nadimpalli, Shehzad Afzal, Sohaib Ghani, Ibrahim Hoteit	Making things visual in science and engineering			Boston
TVCG.2026.3698734	Full	 Hairpin Vortices Extraction in Turbulent Boundary Layer Flows	Adeel Zafar, Zahra Poorshayegh, Lei Si, Di Yang, Guoning Chen	Making things visual in science and engineering			Boston
TVCG.2025.3627171	Full	 Reimagining Disassembly Interfaces with Visualization: Combining Instruction Tracing and Control Flow with DisViz	Shadmaan Hye, Matthew P. LeGendre, and Katherine E. Isaacs	Let's figure out how things work behind the scenes			Boston
TVCG.2026.3666137	Full	 Same Data, Different Audiences: Using Personas to Scope a Supercomputing Job Queue Visualization	Connor Scully-Allison, Kevin Menear, Kristin Potter, Andrew McNutt, Kate Isaacs, Dmitry Duplyakin	Let's figure out how things work behind the scenes			Boston
TVCG.2025.3634087	Full	 GNN101: Visual Learning of Graph Neural Networks in Your Web Browser	Yilin Lu, Chongwei Chen, Yuxin Chen, Kexin Huang, Marinka Zitnik, Qianwen Wang	Let's figure out how things work behind the scenes			Boston
VIS 1170	Full	 BackdoorScope: Visual Analytics of Internal Behaviors in LLMs under Backdoor Attacks	Hanze Jia, Tan Tang, Yan Chen, Feiyuan Qu, Dazhen Deng, Yule Liu, Shouling Ji, Yingcai Wu	Let's figure out how things work behind the scenes			Boston
VIS 1187	Full	 NeuroBreak: Unveil Internal Jailbreak Mechanisms in Large Language Models	Chuhan Zhang, Ye Zhang, Bowen Shi, Yuyou Gan, Tianyu Du, Shouling Ji, Dazhen Deng, Yingcai Wu	Let's figure out how things work behind the scenes			Boston
VIS 1454	Full	 CUBE-ism: An Interactive Visual Analytics System for Real-Time Darknet Traffic Triage	Kanta Okugawa, Koei Suzuki, Masaki Kubo, Ryutaro Ushigome, Yukiko Endo, Takahiro Kasama	Let's figure out how things work behind the scenes			Boston
TVCG.2026.3669148	Full	 ChannelExplorer: Exploring Class Separability Through Activation Channel Visualization	Md Rahat-uz- Zaman, Bei Wang, Paul Rosen	Let's figure out how things work behind the scenes			Boston
TVCG-2025-12-1355	Full	 Multiresolution Density-Equalizing Transformation for Scatterplots	Hennes Rave, Vladimir Molchanov, Yuki Tatsukawa, Quynh Quang Ngo, Steffen Frey, Takeo Igarashi, Lars Linsen	Great, now you scattered the data everywhere!			Boston
VIS 1746	Full	 Measuring Distortion in the Empty Regions of Dimensionality Reduction Scatterplots with the Gap Stretch Coefficient	Jaume Ros, Alessio Arleo, Fernando Paulovich	Great, now you scattered the data everywhere!			Boston
VIS 1034	Full	 Confirmation Bias Shapes Outlier Identification and Removal in Data Cleaning with Scatterplots	Shiyao Li, Akul Rana, Cindy Xiong Bearfield, Emily Wall	Great, now you scattered the data everywhere!			Boston
VIS 1581	Full	 CatPAL: Task-Aware Learning for Categorical Palette Recommendation	Chin Tseng, Arran Zeyu Wang, Yunqi Li, Danielle Szafir	Great, now you scattered the data everywhere!			Boston
TVCG.2026.3657654	Full	 How Scale Breaks "Normalized Stress" and KL Divergence: Rethinking Quality Metrics	Kiran Smelser, Kaviru Gunaratne, Jacob Miller, Stephen Kobourov	Great, now you scattered the data everywhere!			Boston
VIS 1032	Full	 Stop Misusing t-SNE and UMAP for Visual Analytics	Hyeon Jeon, Jeongin Park, Sungbok Shin, Jinwook Seo	Great, now you scattered the data everywhere!			Boston
TVCG.2026.3656952	Full	 Generating Coherent Visualization Sequences for Multivariate Data by Causal Graph Traversal	Puripant Ruchikachorn, Darius Coelho, Jun Wang, Kristina Striegnitz, and Klaus Mueller	Great, now you scattered the data everywhere!			Boston
VIS 2032	Full	 Super-Gaussian: Interactive Scene Editing for 3D Gaussian Splatting and NLI-Based Volume Visualization in Virtual Reality	Suemin Jeon, Kaiyuan Tang, Chaoli Wang, Won-Ki Jeong	Turn up the volume(s)!			Boston
VIS 2033	Full	 ESVR: 3D Ellipsoid-based Sparse Volume Rendering via Structure-aware Primitive Learning and Per-primitive Ray Sampling	Suemin Jeon, Youjin Kim, Jungwoo Park, Kyungryun Lee, Won-Ki Jeong	Turn up the volume(s)!			Boston
VIS 1823	Full	 A Query-Efficient Stochastic Volume Rendering Framework for Time-Varying Implicit Neural Volumes	Alper Sahistan, Haichao Miao, Zhimin Li, Peer-Timo Bremer, Joshua Levine, Valerio Pascucci	Turn up the volume(s)!			Boston
TVCG.2025.3621079	Full	 Make the Fastest Faster: Importance Mask Synthesis for Interactive Volume Visualization using Reconstruction Neural Networks	Jianxin Sun, David Lenz, Hongfeng Yu, and Tom Peterka	Turn up the volume(s)!			Boston
TVCG.2026.3668520	Full	 Visibility Optimization for Direct and Indirect Volume Rendering using Level Set Propagation	Paul Himmler, Tobias Günther	Turn up the volume(s)!			Boston
TVCG.2026.3653310	Full	 Materializing Inter-Channel Relationships with Multi-Density Woodcock Tracking	Alper Sahistan, Stefan Zellmann, Haichao Miao, Nate Morrical, Ingo Wald and Valerio Pascucci	Turn up the volume(s)!			Boston
TVCG.2026.3653244	Full	 MAGIC: Marching Cubes Isosurface Uncertainty Visualization for Gaussian Uncertain Data with Spatial Correlation	Tushar M. Athawale, Kenneth Moreland, David Pugmire, Chris R. Johnson, Paul Rosen, Matthew Norman, Antigoni Georgiadou, and Alireza Entezari	Turn up the volume(s)!			Boston
VIS 1183	Full	 ResonaVis: Visualizing Interactive Music Data to Support Reflective Music Composition for Therapeutic Contexts	Abhishek Karwankar, Elise Ruggiero, Daniel Stevens, Matthew Mauriello	Data really is everywhere			Boston
VIS 1186	Full	 PaintEcho: Bringing Paintings to Photos through Cross-domain Visual Exploration	Yihan Gao, Tan Tang, Jianing Yin, Haobo Zheng, Tianyi Chen, Lu Ying, Yanhong Wu, Yingcai Wu	Data really is everywhere			Boston
VIS 1195	Full	 Meandering Photo Lines: Fluid Multiscale Exploration of Photographic Archives	Mark-Jan Bludau, Christian Tominski, Marian Dörk	Data really is everywhere			Boston
TVCG.2026.3689361	Full	 Diving Deep into Time: Temporal Arrangements for Embedded Visualization in Swimming Videos	Junxiu Tang, Lijie Yao, Lu Ying, Romain Vuillemot, and Petra Isenberg	Data really is everywhere			Boston
TVCG.2025.3586689	Full	 Save It for the "Hot" Day: An LLM-Empowered Visual Analytics System for Heat Risk Management	Haobo Li, Wong Kam-Kwai, Yan Luo, Juntong Chen, Chengzhong Liu, Yaxuan Zhang, Alexis Kai Hon Lau, Huamin Qu, and Dongyu Liu	Data really is everywhere			Boston
VIS 1181	Full	 Who's That Player?: Externalizing Query Interpretation in Spoken XR Sports Interaction	Chunggi Lee, Tica Lin, Yalong Yang, Hanspeter Pfister	Data really is everywhere			Boston
VIS 1437	Full	 PoseForge: Editable Pose Analytics for AI-Assisted Sports Coaching	Shuvam Dash, Arpit Narechania	Data really is everywhere			Boston
